,dp,ur,y3
1948-06-30,0.027283958948468356,0.03666666666666667,0.0025
1948-09-30,0.008658062743114314,0.03766666666666667,0.0025
1948-12-31,-0.012807446289925917,0.03833333333333334,0.0028000000000000004
1949-03-31,-0.005838215081536813,0.04666666666666667,0.0029249999999999996
1949-06-30,0.0004181476121978278,0.058666666666666666,0.0029249999999999996
1949-09-30,-0.007132398601780832,0.067,0.00255
1949-12-31,-0.005912179383229077,0.06966666666666665,0.002625
1950-03-31,0.0012698414404761493,0.064,0.0026750000000000003
1950-06-30,0.010101095986503772,0.05566666666666667,0.002875
1950-09-30,0.019079799034980027,0.04633333333333334,0.0029
1950-12-31,0.025954417138050356,0.042333333333333334,0.003275
1951-03-31,0.03539496493526828,0.035,0.00335
1951-06-30,0.0019301299178731135,0.031,0.003675
1951-09-30,0.00384911945590094,0.03166666666666666,0.0039000000000000003
1951-12-31,0.01676229723253586,0.033666666666666664,0.00385
1952-03-31,-0.0030268657237773056,0.03066666666666667,0.0039250000000000005
1952-06-30,0.005291017634415862,0.029666666666666668,0.0039250000000000005
1952-09-30,0.0037622316761924957,0.03233333333333333,0.004525
1952-12-31,0.0029996272960284287,0.028333333333333335,0.00435
1953-03-31,-0.0029996272960284287,0.026999999999999996,0.0049
1953-06-30,0.005243457706420429,0.025666666666666667,0.005475
1953-09-30,0.004472612748512184,0.027333333333333338,0.0051
1953-12-31,-0.0007440476533737694,0.037,0.00345
1954-03-31,0.002230484196107607,0.05266666666666667,0.00295
1954-06-30,0.00037126415871080454,0.057999999999999996,0.002425
1954-09-30,-0.00483721873435039,0.05966666666666666,0.0018
1954-12-31,-0.0014930947156064356,0.05333333333333333,0.00245
1955-03-31,0.0007468260242560198,0.04733333333333333,0.0030499999999999998
1955-06-30,-0.0029906564346480202,0.044,0.003975
1955-09-30,0.005227793833004313,0.040999999999999995,0.004
1955-12-31,0.0007446016725261018,0.042333333333333334,0.005575
1956-03-31,0.0007440476533737694,0.04033333333333334,0.006025
1956-06-30,0.009622576099170832,0.042,0.006500000000000001
1956-09-30,0.007339482488045945,0.04133333333333334,0.005775
1956-12-31,0.01018561006733476,0.041333333333333326,0.0072499999999999995
1957-03-31,0.008289829416334715,0.03933333333333334,0.007775
1957-06-30,0.008933416566780927,0.04100000000000001,0.0076749999999999995
1957-09-30,0.007442883907078368,0.042333333333333334,0.0079
1957-12-31,0.005282632464427284,0.04933333333333333,0.00895
1958-03-31,0.013952092384897252,0.063,0.0060999999999999995
1958-06-30,0.0013845623534112228,0.07366666666666667,0.002825
1958-09-30,0.0,0.07333333333333333,0.002275
1958-12-31,0.0020732557530043216,0.06366666666666668,0.006575
1959-03-31,0.0,0.05833333333333333,0.00705
1959-06-30,0.004820945976272917,0.051000000000000004,0.0073750000000000005
1959-09-30,0.004797815920333459,0.05266666666666667,0.008
1959-12-31,0.005455178888038148,0.05600000000000001,0.010125
1960-03-31,0.0,0.051333333333333335,0.010875
1960-06-30,0.006777389547596435,0.052333333333333336,0.008075
1960-09-30,0.0,0.05533333333333334,0.00575
1960-12-31,0.006731765576479809,0.06266666666666666,0.00575
1961-03-31,0.001005867645580416,0.068,0.005600000000000001
1961-06-30,0.0,0.07,0.005725
1961-09-30,0.004680717338891416,0.06766666666666667,0.005600000000000001
1961-12-31,0.0010001667778238854,0.062,0.00575
1962-03-31,0.00531739371869433,0.056333333333333326,0.0068000000000000005
1962-06-30,0.0013249422276104816,0.05533333333333334,0.006825
1962-09-30,0.006927291432566207,0.05566666666666667,0.0073
1962-12-31,-0.0013157896635198618,0.05533333333333334,0.00685
1963-03-31,0.004270001560951364,0.057666666666666665,0.007275
1963-06-30,0.003272254228742888,0.05733333333333334,0.0072499999999999995
1963-09-30,0.0035871553221502595,0.055,0.00795
1963-12-31,0.0051948168771041026,0.05566666666666666,0.008625
1964-03-31,0.001941119988344564,0.05466666666666666,0.0088
1964-06-30,0.0022598879674378125,0.05199999999999999,0.008675
1964-09-30,0.002254792387089033,0.05,0.00865
1964-12-31,0.005454850682963919,0.04966666666666666,0.008924999999999999
1965-03-31,0.0019181591559034317,0.048999999999999995,0.009525
1965-06-30,0.009535990889212087,0.04666666666666666,0.009825
1965-09-30,0.0003163055537998005,0.04366666666666667,0.0096
1965-12-31,0.007247550236846312,0.04100000000000001,0.010075
1966-03-31,0.010307759546064776,0.03866666666666667,0.011474999999999999
1966-06-30,0.006195806685251881,0.03833333333333334,0.01155
1966-09-30,0.011362013831771822,0.03766666666666667,0.012
1966-12-31,0.005177413727608382,0.037000000000000005,0.013375
1967-03-31,0.0024271856576110196,0.03833333333333334,0.0118
1967-06-30,0.009049835519917782,0.03833333333333334,0.0096
1967-09-30,0.00896866998276069,0.03799999999999999,0.010525
1967-12-31,0.01183445764700286,0.039,0.011399999999999999
1968-03-31,0.008784829555732454,0.03733333333333333,0.0125
1968-06-30,0.01159433278091937,0.035666666666666666,0.01345
1968-09-30,0.011461443519006576,0.035333333333333335,0.013274999999999999
1968-12-31,0.014144507386165017,0.034,0.013375
1969-03-31,0.013947227480850088,0.034,0.015349999999999999
1969-06-30,0.013755375068485343,0.034333333333333334,0.015275
1969-09-30,0.013568729206069108,0.035666666666666666,0.0175
1969-12-31,0.016043124840575462,0.035666666666666666,0.0175
1970-03-31,0.015789801732635222,0.04166666666666667,0.019675
1970-06-30,0.01297035044262751,0.04766666666666666,0.016274999999999998
1970-09-30,0.010256500167189042,0.051666666666666666,0.016125
1970-12-31,0.015190165493975005,0.05833333333333333,0.014775
